,code,year,happiness,gdppc,urbanization,corruption,food_insec,tax,indiv_libs,school,life_expect,yearly temp,hri,suicides,family,covid,war,hdi,rain,air_pollution,gini,region,sub-region
0,AFG,2022,1.859,2004.112,25.244,13.8,19.329,8.587,0.015,4.958,62.664,13.7530365,0.038,6.037,,0.2506757134615384,3.642219,0.479,327.0,18.004,,Asia,Southern Asia
1,AFG,2021,2.4038,1516.27326544595,26.314,13.8,28.4,8.587,0.137,4.958,61.9824,13.982875,0.175,6.037,,0.2825193697115384,90.69948,0.478,327.0,18.004,,Asia,Southern Asia
2,AFG,2020,2.5229,1968.34100152117,26.026,13.8,22.6,6.760211,0.417,5.0528383,62.5751,12.358907,0.56,6.037,,0.178228594026415,53.391857,0.483,327.0,18.004,,Asia,Southern Asia
3,AFG,2019,2.5669,2079.92186098824,25.754,13.8,19.8,8.362843,0.365,4.958,63.5645,12.955639,0.517,5.96,,0.0,80.469696,0.488,327.0,16.609505,,Asia,Southern Asia
4,AFG,2018,3.2033,2060.69897292797,25.495,16.0,17.3,9.173828,0.381,4.9497876,63.081,13.735786,0.558,5.91,,0.0,73.11079,0.483,327.0,16.527699,,Asia,Southern Asia
5,AFG,2017,3.6315,2096.09311055337,25.25,15.0,17.3,10.1876335,0.358,4.87,63.016,13.534083,0.537,5.95,,0.0,55.384697,0.482,327.0,17.984146,,Asia,Southern Asia
6,AFG,2016,3.794,2101.42218654808,25.02,15.0,15.1,9.837913,0.325,4.958,63.1361,13.772996,0.514,6.01,,0.0,53.914673,0.481,327.0,17.944328,,Asia,Southern Asia
7,AFG,2015,3.36,2108.71417281187,24.803,11.0,14.8,7.874765,0.386,4.958,62.6587,12.976933,0.553,5.99,,0.0,53.108566,0.478,327.0,18.377846,,Asia,Southern Asia
8,AFG,2014,3.575,2144.44963352064,24.587,12.0,19.329,7.141338,0.374,4.958,62.5451,12.295863,0.554,6.02,,0.0,38.2043,0.479,327.0,18.807348,,Asia,Southern Asia
9,AFG,2011,4.25835,1961.09631655741,23.948,13.8,19.329,9.359386,0.402,4.958,61.4191,13.000847,0.577,6.42,,0.0,25.846899,0.456,327.0,19.775244,,Asia,Southern Asia
10,ALB,2022,5.2773,15491.9610024673,59.06,36.4,9.357,24.136,0.903,8.908,78.33,13.501849,0.873,4.617,97.42949,0.1651656886653846,0.0,0.795,1485.0,10.18,0.32,Europe,Southern Europe
11,ALB,2021,5.1988,14595.915310896,62.969,36.4,7.5,24.741135,0.9,8.908,76.4626,13.125365,0.878,4.617,97.429,0.8822996328076923,0.0,0.796,1485.0,10.18,0.32,Europe,Southern Europe
12,ALB,2020,5.1174,13278.3433182533,62.112,36.4,7.7,23.912548,0.899,8.953018,76.9893,13.342265,0.874,4.617,97.429,0.5981366303018868,0.0,0.794,1485.0,10.18,0.2941963,Europe,Southern Europe
13,ALB,2019,4.8827,13653.1550103049,61.229,36.4,8.8,24.942486,0.916,8.908,79.2825,13.521297,0.882,3.72,97.429,0.0,0.0,0.81,1485.0,9.543016,0.30115768,Europe,Southern Europe
14,ALB,2018,4.7186,13317.0927360367,60.319,36.0,10.0,25.149136,0.901,8.851396,79.1838,13.70238,0.881,3.94,97.429,0.0,0.0,0.806,1485.0,9.718166,0.30148283,Europe,Southern Europe
15,ALB,2017,4.586,12770.9664236798,59.383,38.0,11.0,24.136,0.894,8.92,79.0473,13.111859,0.884,4.11,97.429,0.0,0.0,0.802,1485.0,9.87686,0.33055663,Europe,Southern Europe
16,ALB,2016,4.644,12291.8175748981,58.421,39.0,10.5,23.537329,0.913,8.908,78.8602,13.173279,0.891,4.17,97.429,0.0,0.0,0.798,1485.0,10.06132,0.33736297,Europe,Southern Europe
17,ALB,2015,4.655,11878.4139402813,57.434,36.0,10.0,23.985617,0.913,8.908,78.6441,13.216008,0.891,4.23,97.429,0.0,0.0,0.795,1485.0,10.272267,0.32753733,Europe,Southern Europe
18,ALB,2014,4.959,11586.7943649919,56.423,33.0,9.357,23.933598,0.913,8.908,78.4075,13.130962,0.891,4.52,97.429,0.0,0.0,0.792,1485.0,10.508793,0.34598896,Europe,Southern Europe
19,ALB,2011,5.133704,11052.7559176482,53.247,36.4,9.357,22.882267,0.884,8.908,78.0919,12.611583,0.88,7.63,97.429,0.0,0.0,0.766,1485.0,11.276407,0.32,Europe,Southern Europe
20,DZA,2022,5.3291,11198.2334828027,71.848,34.8,9.3,,0.514,6.993,75.522,24.677404,0.491,2.681,93.083,0.1225899059807692,0.022270113,0.74,89.0,10.685,0.276,Africa,Northern Africa
21,DZA,2021,5.1223,11029.1387822365,74.261,34.8,5.6,,0.514,6.993,76.3767,25.22027,0.491,2.681,93.083,0.2184743755769231,0.029426435,0.745,89.0,10.685,0.276,Africa,Northern Africa
22,DZA,2020,4.8871,10844.7707638851,73.733,34.8,6.2,,0.59,7.0915527,74.4528,24.726349,0.553,2.681,93.083,0.3165694865754717,0.06904223,0.736,89.0,10.685,0.276,Africa,Northern Africa
23,DZA,2019,5.0051,11627.2799176185,73.189,34.8,6.9,,0.571,6.993,76.4742,24.009596,0.587,2.6,93.083,0.0,0.0,0.748,89.0,10.728213,0.276,Africa,Northern Africa
