,code,year,happiness,gdppc,urbanization,corruption,food_insec,tax,indiv_libs,school,life_expect,yearly temp,hri,suicides,family,covid,war,hdi,rain,air_pollution,gini,region,sub-region
350,CZE,2017,6.7109,38824.875418124,73.675,57.0,0.5,34.470142,0.956,11.65,78.9557,8.815231,0.939,11.1969,82.623,0.0,0.0,0.897,677.0,5.6059804,0.2485221,Europe,Eastern Europe
351,CZE,2016,6.609,37014.9473772873,73.57,55.0,0.5,34.0612,0.958,11.367,78.9967,8.938988,0.943,10.3358,82.623,0.0,0.0,0.895,677.0,5.7466106,0.25406334,Europe,Eastern Europe
352,CZE,2015,6.596,36168.4069116203,73.477,56.0,0.7,33.164383,0.969,11.367,78.58,9.665856,0.952,10.492,82.623,0.0,0.0,0.891,677.0,5.981745,0.25867432,Europe,Eastern Europe
353,CZE,2014,6.505,34386.6938442223,73.384,51.0,0.986,32.876495,0.97,11.367,78.755,9.744016,0.957,11.6959,82.623,0.0,0.0,0.887,677.0,6.1794887,0.25923222,Europe,Eastern Europe
354,CZE,2011,6.35963,34002.1788288328,73.185,55.6,0.986,33.058395,0.97,11.367,77.8191,8.7563095,0.963,12.8985,82.623,0.0,0.0,0.872,677.0,6.853774,0.26381344,Europe,Eastern Europe
355,COD,2022,3.2072,1132.65423032115,43.165,21.2,38.5,11.992874,0.354,4.601,58.936,24.597357,0.524,12.441,,0.3420195136538461,5.2802634,0.466,1543.0,15.485,,Africa,Sub-Saharan Africa
356,COD,2019,4.311,1059.89211128909,45.046,21.2,38.5,6.7293997,0.369,4.601,60.2757,24.710571,0.542,12.4111,,0.0,2.6527443,0.482,1543.0,15.473239,,Africa,Sub-Saharan Africa
357,COD,2018,4.4181,1048.24644679752,44.46,20.0,38.5,7.0440736,0.284,4.5322757,59.9417,24.454153,0.417,12.394,,0.0,3.3736243,0.48,1543.0,15.582607,,Africa,Sub-Saharan Africa
358,COD,2017,4.2449,1023.53983314556,43.88,21.0,38.5,6.1708207,0.244,4.67,59.4114,24.603264,0.39,12.0358,,0.0,6.8898606,0.475,1543.0,15.34547,,Africa,Sub-Saharan Africa
359,COD,2016,4.28,1021.3271982971,43.307,21.0,38.5,7.7321424,0.261,4.601,59.0664,24.885193,0.423,12.0872,,0.0,2.6304486,0.472,1543.0,15.429686,,Africa,Sub-Saharan Africa
360,COD,2015,4.272,1032.57186484898,42.74,22.0,38.5,8.730922,0.262,4.601,58.49,24.533356,0.44,12.2673,,0.0,0.96495026,0.463,1543.0,15.526597,,Africa,Sub-Saharan Africa
361,COD,2014,4.517,999.07213352076,42.18,22.0,38.5,8.401271,0.261,4.601,58.2963,24.410965,0.443,12.5667,,0.0,2.561958,0.455,1543.0,15.560338,,Africa,Sub-Saharan Africa
362,COD,2011,3.983849,870.073805545314,40.544,21.2,38.5,8.649499,0.256,4.601,57.0693,24.132849,0.444,13.3243,,0.0,0.60884774,0.438,1543.0,15.4774275,,Africa,Sub-Saharan Africa
363,DNK,2022,7.5864,59935.1199155774,87.724,89.8,1.229,47.551,0.988,11.298,80.943,9.672759,0.96,8.451,87.56867,0.1919487339807692,0.0,0.94,703.0,2.9,0.28,Europe,Northern Europe
364,DNK,2021,7.6362,58802.9623332979,88.24,89.8,1.8,47.97084,0.977,11.298,81.3753,8.935855,0.952,8.451,87.569,0.1048162573346153,0.0,0.948,703.0,2.9,0.28,Europe,Northern Europe
365,DNK,2020,7.6195,55275.062250353,88.116,89.8,1.4,48.346725,0.971,11.098828,81.5449,10.0801325,0.942,8.451,87.569,0.0049813042037735,0.0,0.947,703.0,2.9,0.27504268,Europe,Northern Europe
366,DNK,2019,7.6456,56813.9641554635,87.994,89.8,1.1,48.1246,0.987,11.298,81.4337,9.686952,0.957,7.63,87.569,0.0,0.0,0.946,703.0,2.5983975,0.27723646,Europe,Northern Europe
367,DNK,2018,7.6001,56178.7746299825,87.874,88.0,1.1,45.407043,0.99,11.37422,80.99,9.680981,0.963,8.18,87.569,0.0,0.0,0.942,703.0,2.7315702,0.28166336,Europe,Northern Europe
368,DNK,2017,7.5553,55356.680780178,87.757,88.0,1.1,46.709103,0.991,11.42,81.1112,9.131982,0.968,8.28,87.569,0.0,0.0,0.944,703.0,2.7399101,0.28746662,Europe,Northern Europe
369,DNK,2016,7.522,54185.0084787703,87.642,90.0,1.1,46.83615,0.991,11.298,80.8803,9.2463875,0.968,8.24,87.569,0.0,0.0,0.943,703.0,2.7536285,0.28187442,Europe,Northern Europe
370,DNK,2015,7.526,52892.6460290247,87.526,91.0,1.0,47.932163,0.991,11.298,80.738,9.281568,0.969,8.07,87.569,0.0,0.0,0.936,703.0,2.782654,0.28177446,Europe,Northern Europe
371,DNK,2014,7.527,52048.3354927846,87.41,92.0,1.229,50.397488,0.99,11.298,80.6302,10.140958,0.965,9.09,87.569,0.0,0.0,0.932,703.0,2.93698,0.2835288,Europe,Northern Europe
372,DNK,2011,7.85574,51293.2061782002,86.957,89.8,1.229,46.234364,0.992,11.298,79.7845,9.025926,0.972,9.67,87.569,0.0,0.0,0.926,703.0,3.7543721,0.27311745,Europe,Northern Europe
373,DJI,2014,4.369,3854.26995628598,77.314,34.0,,13.363991,0.496,,61.6411,28.048574,0.431,12.1898,,0.0,0.10110293,0.488,220.0,9.677879,,Africa,Sub-Saharan Africa
374,DJI,2011,4.956731,3854.27,77.064,34.0,,14.441683,0.496,,60.4329,28.002329,0.432,11.8374,,0.0,0.0,0.47,220.0,9.447127,,Africa,Sub-Saharan Africa
375,DOM,2022,5.5689,19338.0151125748,79.937,31.0,23.029,14.049603,0.82,6.523,72.934,24.461126,0.895,6.046,,-0.0113618905961538,0.0,0.751,1410.0,6.96,0.432,Americas,Latin America and the Caribbean
376,DOM,2021,5.7372,18626.078682929,83.213,31.0,22.0,14.408329,0.82,6.523,72.6146,24.475721,0.895,6.046,,0.1127699565865384,0.0,0.767,1410.0,6.96,0.38529852,Americas,Latin America and the Caribbean
377,DOM,2020,5.5451,16768.4261044255,82.54,31.0,22.2,12.430842,0.818,6.558533,72.8894,24.868607,0.893,6.046,,0.0377832132716981,0.0,0.764,1410.0,6.96,0.39631972,Americas,Latin America and the Caribbean
378,DOM,2019,5.6892,18171.0609627655,81.828,31.0,23.2,13.326801,0.749,6.523,73.5767,24.745333,0.847,5.11,,0.0,0.0,0.771,1410.0,6.796193,0.41918564,Americas,Latin America and the Caribbean
379,DOM,2018,5.4253,17484.1217559257,81.074,30.0,22.4,13.055241,0.752,6.6819587,73.2323,24.411734,0.859,5.49,,0.0,0.0,0.764,1410.0,6.844923,0.4368666,Americas,Latin America and the Caribbean
380,DOM,2017,5.3018,16524.5338420587,80.277,29.0,23.4,13.046789,0.742,6.33,73.0629,24.498314,0.843,6.02,,0.0,0.0,0.757,1410.0,6.9107695,0.42195615,Americas,Latin America and the Caribbean
381,DOM,2016,5.23,15967.2022809286,79.436,31.0,23.7,12.91333,0.751,6.523,72.9867,24.627993,0.847,6.77,,0.0,0.0,0.755,1410.0,7.081789,0.45723918,Americas,Latin America and the Caribbean
382,DOM,2015,5.155,15145.4694592907,78.566,33.0,24.3,12.837603,0.753,6.523,72.9531,24.80282,0.84,6.84,,0.0,0.0,0.736,1410.0,7.175091,0.45181635,Americas,Latin America and the Caribbean
383,DOM,2014,4.885,14334.733860885,77.67,32.0,23.029,13.4382305,0.753,6.523,72.8665,24.50168,0.848,6.59,,0.0,0.0,0.728,1410.0,7.1132607,0.4428003,Americas,Latin America and the Caribbean
384,DOM,2011,5.036006,12905.288988573,74.827,31.0,23.029,12.357719,0.764,6.523,72.2212,24.111624,0.851,5.5,,0.0,0.0,0.713,1410.0,6.7975464,0.47706905,Americas,Latin America and the Caribbean
385,ECU,2022,5.5589,10859.2178291137,63.672,32.4,9.829,14.14,0.878,8.77,75.9,20.84904,0.899,8.844,87.48958,0.1719342555846154,0.50552744,0.754,2274.0,5.325,0.45466313,Americas,Latin America and the Caribbean
386,ECU,2021,5.5333,10668.7582914222,64.361,32.4,13.0,13.879761,0.889,8.77,73.67,20.979362,0.893,8.844,93.038,0.4276591335192308,1.6350394,0.74,2274.0,5.325,0.4580044,Americas,Latin America and the Caribbean
387,ECU,2020,5.764,10356.9742017158,64.166,32.4,12.8,13.021571,0.882,8.69649,72.1535,21.27785,0.904,8.844,93.038,0.6136146902830188,0.0,0.731,2274.0,5.325,0.47311273,Americas,Latin America and the Caribbean
388,ECU,2019,5.9252,11390.2169659569,63.986,32.4,11.6,14.035229,0.876,8.77,77.2971,21.14963,0.896,7.68,93.038,0.0,0.0115315365,0.76,2274.0,5.2422624,0.45711532,Americas,Latin America and the Caribbean
389,ECU,2018,6.0276,11608.4190498367,63.821,34.0,9.9,14.973984,0.876,8.754255,77.0938,20.924253,0.912,8.12,93.038,0.0,0.0,0.762,2274.0,5.166172,0.45440298,Americas,Latin America and the Caribbean
390,ECU,2017,5.9732,11679.4302342769,63.67,32.0,8.4,14.15539,0.868,8.86,76.9725,21.12912,0.858,9.26,93.038,0.0,0.0,0.762,2274.0,5.1212854,0.4467303,Americas,Latin America and the Caribbean
391,ECU,2016,6.008,11587.8253010112,63.534,31.0,7.1,14.615247,0.845,8.77,76.7634,21.48715,0.811,9.06,93.038,0.0,0.0,0.762,2274.0,5.257003,0.45020068,Americas,Latin America and the Caribbean
392,ECU,2015,5.976,11908.215784299,63.398,32.0,6.0,16.107111,0.845,8.77,76.7893,21.470581,0.809,8.88,93.038,0.0,0.0,0.765,2274.0,5.4540405,0.45954296,Americas,Latin America and the Caribbean
393,ECU,2014,5.975,12073.8104194928,63.261,33.0,9.829,14.169829,0.843,8.77,76.6221,20.893852,0.805,8.9,98.58569,0.0,0.0,0.76,2274.0,5.5143604,0.4499505,Americas,Latin America and the Caribbean
394,ECU,2011,5.424841,10988.7221081401,62.851,32.4,9.829,12.299311,0.847,8.77,75.7425,20.782259,0.835,10.0113,93.038,0.0,0.0,0.743,2274.0,5.5165434,0.4587748,Americas,Latin America and the Caribbean
395,EGY,2022,4.1705,12780.7598676582,42.793,34.8,7.957,,0.256,6.458,70.762,22.95295,0.202,3.557,99.66666,0.1201306883653846,0.14145406,0.716,18.1,15.774,0.318,Africa,Northern Africa
396,EGY,2021,4.2877,12180.4516452436,42.862,34.8,8.8,,0.258,6.458,70.2207,23.623482,0.203,3.557,98.512,0.4559809796153846,0.07962499,0.731,18.1,15.774,0.318,Africa,Northern Africa
397,EGY,2020,4.2827,11989.5992514646,42.783,34.8,7.1,,0.267,6.5293627,70.9905,23.15776,0.2,3.557,98.512,0.2610209819660377,0.46340615,0.734,18.1,15.774,0.318,Africa,Northern Africa
398,EGY,2019,4.1514,11780.9620965028,42.73,34.8,6.7,,0.235,6.458,71.3575,23.36551,0.185,3.41,98.512,0.0,0.59932584,0.735,18.1,15.600813,0.31893557,Africa,Northern Africa
399,EGY,2018,4.1655,11363.3180205488,42.704,35.0,7.4,,0.229,6.504568,71.3669,24.097076,0.179,3.37,98.512,0.0,0.6593358,0.729,18.1,15.536187,0.318,Africa,Northern Africa
400,EGY,2017,4.4192,10995.0056689479,42.705,32.0,8.6,,0.221,6.34,71.3019,23.009415,0.179,3.39,98.512,0.0,0.8399697,0.721,18.1,15.519818,0.31533954,Africa,Northern Africa
401,EGY,2016,4.735,10765.8288009465,42.732,34.0,8.7,,0.228,6.458,70.8435,23.726912,0.174,3.63,98.512,0.0,0.38783762,0.713,18.1,15.743518,0.318,Africa,Northern Africa
402,EGY,2015,4.362,10534.8822044455,42.785,36.0,8.4,,0.23,6.458,70.4831,23.349562,0.169,3.72,98.512,0.0,0.88105464,0.706,18.1,15.952097,0.31823358,Africa,Northern Africa
403,EGY,2014,4.194,10318.6509217013,42.839,37.0,7.957,,0.227,6.458,70.4151,23.616615,0.174,3.69,97.35681,0.0,0.18620741,0.699,18.1,15.906228,0.318,Africa,Northern Africa
404,EGY,2011,4.8534,10286.0101966952,43.0,34.8,7.957,,0.323,6.458,69.8805,22.647821,0.397,3.69,98.512,0.0,0.03475334,0.679,18.1,16.159655,0.318,Africa,Northern Africa
405,SLV,2022,6.1216,9396.01377999827,71.001,36.4,14.586,17.632,0.513,7.274,71.853,26.30039,0.618,6.41,,0.1853264481423077,1.3888028,0.672,1784.0,7.003,0.38757578,Americas,Latin America and the Caribbean
406,SLV,2021,6.12,9190.17379365471,74.118,36.4,16.2,19.899433,0.493,7.274,70.7479,26.682343,0.632,6.41,,0.5993179903846154,0.0,0.675,1784.0,7.003,0.39012462,Americas,Latin America and the Caribbean
407,SLV,2020,6.0605,8294.53733884395,73.444,36.4,14.7,18.658958,0.501,7.6372886,71.0609,26.484457,0.667,6.41,,0.3289754329056604,0.0,0.672,1784.0,7.003,0.397,Americas,Latin America and the Caribbean
408,SLV,2019,6.3483,9015.66403063947,72.746,36.4,15.1,18.081545,0.608,7.274,72.5586,26.874693,0.767,6.11,,0.0,0.0,0.683,1784.0,6.478802,0.38778764,Americas,Latin America and the Caribbean
409,SLV,2018,6.2531,8812.9247941056,72.023,35.0,14.6,18.128819,0.628,7.6339335,72.5546,26.5446,0.786,6.07,,0.0,0.0,0.68,1784.0,6.583255,0.38610572,Americas,Latin America and the Caribbean
