code,year,happiness,urbanization,corruption,food_insec,tax,indiv_libs,school,life_expect,yearly temp,hri,suicides,family,covid,war,hdi,rain,air_pollution,gini
ARG,2011,6.242357,90.99,,,29.298832,0.879,,76.124,14.761867,0.914,8.42,,,0.0,0.841,591.0,4.178858,
ARM,2022,5.3417,,,,,0.882,,,7.408729,0.885,,91.74661,0.20242135305615383,5.5026627,,,,
ARM,2021,5.3986,63.431,,0.5,22.540012,0.878,,72.0431,7.6757207,0.884,,,1.064059961730769,0.35829824,0.759,,,0.2794013
ARM,2020,5.2826,63.313,,0.5,22.33672,0.903,7.994621,72.173,7.103248,0.906,,,0.7163828464392452,0.42771447,0.757,,,0.25131604
ARM,2019,4.6768,63.219,,0.8,22.759394,0.913,,75.4386,7.3121448,0.908,2.66,,,0.0,0.778,562.0,11.371826,0.30031213
ARM,2018,4.5594,63.149,35.0,1.1,21.306564,0.896,8.07041,75.0645,8.187609,0.888,1.65,,,0.0,0.771,562.0,11.455856,0.344335
ARM,2017,4.3206,63.103,35.0,1.2,21.260899,0.801,7.86,74.9059,6.6434894,0.801,2.43,,,0.0,0.768,562.0,11.584303,0.3362184
ARM,2016,4.376,63.082,33.0,,21.761496,0.803,,74.6639,6.4220004,0.789,4.43,,,0.17446886,0.765,562.0,11.756579,0.32547948
ARM,2015,4.36,63.085,35.0,,21.574928,0.802,,74.4361,7.269296,0.789,4.7,,,0.3126522,0.766,562.0,12.025206,0.32356772
ARM,2014,4.35,63.112,37.0,,22.43237,0.807,,74.0577,7.3057075,0.786,4.63,97.18008,,0.10380849,0.764,562.0,12.063473,0.3148329
ARM,2011,4.473529,63.34,,,21.0034,0.807,,73.3045,5.7656994,0.794,5.74,,,0.0,0.75,562.0,12.22174,0.29352945
AUS,2022,7.0946,,,,,0.96,,,21.874115,0.93,,90.15292,0.2299605095,0.0,,,,
AUS,2021,7.1621,86.362,,3.4,,0.955,,84.5265,21.96463,0.92,,,0.05104515626923077,0.0,0.951,,,
AUS,2020,7.1835,86.241,,3.6,29.974062,0.956,11.222505,84.3239,22.58075,0.931,,,-0.03531149359150944,0.0,0.947,,,
AUS,2019,7.2228,86.124,,3.3,27.55645,0.967,,83.11,23.126226,0.931,11.2523,,,0.0,0.941,534.0,1.1128302,
AUS,2018,7.228,86.012,77.0,3.8,29.41556,0.967,11.40922,83.3871,22.6032,0.934,11.2611,,,0.008006653,0.941,534.0,1.089121,0.34333763
AUS,2017,7.2721,85.904,77.0,3.6,29.192316,0.966,11.55,83.0006,22.474974,0.935,11.7932,,,0.0,0.937,534.0,1.0618842,
AUS,2016,7.284,85.8,79.0,3.4,28.496323,0.975,,82.8707,22.401701,0.948,10.9183,,,0.0,0.935,534.0,1.1055092,0.3368581
AUS,2015,7.313,85.701,79.0,2.8,28.120186,0.974,,82.6552,22.506424,0.948,11.8127,,,0.0,0.933,534.0,1.1412232,
AUS,2014,7.284,85.602,80.0,,27.337116,0.976,,82.5677,22.59493,0.947,11.3146,92.52824,,0.0,0.931,534.0,1.1507242,0.34399432
AUS,2011,7.344625,85.3,,,26.35477,0.98,,82.1336,21.348013,0.955,10.0623,,,0.0,0.926,534.0,1.1674845,
AUT,2022,7.0973,,,,,0.915,,,8.0978985,0.901,,82.3139,0.3018998465928846,0.0,,,,
AUT,2021,7.163,58.995,,1.6,43.713684,0.945,,81.5797,6.8732553,0.917,,,0.24425458188461538,0.0,0.916,,,
AUT,2020,7.2678,58.748,,1.3,42.69726,0.952,10.906205,81.5036,7.716915,0.919,,,0.25251391361132075,0.044904567,0.913,,,0.29801792
AUT,2019,7.2942,58.515,,0.9,43.127434,0.947,,81.9077,8.035307,0.918,10.4022,,,0.0,0.919,1110.0,3.2155223,0.30211553
AUT,2018,7.246,58.297,76.0,1.1,42.79955,0.942,11.275588,81.6862,8.13189,0.926,11.188,,,0.0,0.917,1110.0,3.1663206,0.3084879
AUT,2017,7.1394,58.094,75.0,1.1,42.44607,0.961,11.67,81.6391,7.2550244,0.939,10.7721,,,0.0,0.916,1110.0,3.14181,0.29737586
AUT,2016,7.006,57.905,75.0,1.2,42.364082,0.967,,81.5925,7.4417515,0.948,11.1316,,,0.0,0.915,1110.0,3.3299193,0.30797073
AUT,2015,7.119,57.715,76.0,1.1,43.77833,0.967,,81.1594,7.9312553,0.948,11.3898,,,0.0,0.91,1110.0,3.5926633,0.30532774
AUT,2014,7.2,57.526,72.0,,43.366844,0.969,,81.3903,8.039063,0.95,12.043,,,0.0,0.909,1110.0,3.7688143,0.30535683
AUT,2011,7.227316,57.115,,,41.896942,0.966,,80.8285,7.306587,0.946,12.2841,,,0.0,0.905,1110.0,4.235061,0.3080167
AZE,2021,5.1734,56.776,,0.5,13.471213,0.387,,69.3658,13.154212,0.416,,,0.6795498628846153,0.29089522,0.745,,,
AZE,2020,5.1708,56.397,,0.5,15.185594,0.366,8.281513,66.8679,12.649577,0.415,,,0.3600889195975472,74.224945,0.73,,,
AZE,2019,5.1648,56.031,,0.5,14.218887,0.372,,73.1023,12.930004,0.421,3.97,,,0.0,0.761,447.0,10.869016,
AZE,2018,5.2077,55.68,25.0,0.5,14.052589,0.341,9.373489,72.7601,13.29211,0.389,3.92,,,0.0,0.757,447.0,10.833136,
AZE,2017,5.2006,55.343,31.0,0.5,14.208536,0.398,8.75,72.2478,12.433502,0.446,3.91,,,0.3574418,0.753,447.0,10.843067,
AZE,2016,5.234,55.021,30.0,0.5,17.734713,0.348,,72.0039,12.125596,0.401,3.92,,,1.3632371,0.75,447.0,11.012124,
AZE,2015,5.291,54.714,29.0,0.5,16.50607,0.376,,71.4512,12.743314,0.432,3.99,,,0.6387195,0.748,447.0,11.203531,
AZE,2014,5.212,54.422,29.0,,14.998136,0.38,,71.1163,12.886666,0.44,4.1,93.8623,,0.4413933,0.745,447.0,11.233435,
AZE,2011,4.581938,53.637,,,13.471065,0.358,,69.9835,11.441569,0.414,4.44,,,0.0,0.729,447.0,11.283263,
BHR,2022,6.1732,,,,,0.319,,,26.528921,0.281,,,0.33385654846153845,0.0,,,,
BHR,2021,6.6469,89.622,,,,0.319,,78.7605,27.035477,0.281,,,0.5734635551346154,0.0,0.875,,,
BHR,2020,6.6469,89.506,,,2.922273,0.319,9.286839,79.1735,26.601576,0.278,,,0.2515176938360377,0.0,0.877,,,
BHR,2019,6.2273,89.394,,,3.011662,0.312,,80.0186,26.590246,0.27,7.2,,,0.0,0.882,83.0,14.672168,
BHR,2018,6.1994,89.287,36.0,,1.1436089,0.233,9.518841,79.8566,26.753805,0.214,7.04,,,0.0,0.879,83.0,14.7251215,
BHR,2017,6.1051,89.186,36.0,,0.98197675,0.22,9.6,79.689,26.359781,0.202,6.73,,,0.0,0.869,83.0,14.858465,
BHR,2016,6.087,89.09,43.0,,0.8499196,0.225,,79.5569,26.332296,0.219,6.48,,,0.0,0.865,83.0,15.015692,
BHR,2015,6.218,88.999,51.0,,1.0370021,0.215,,79.4046,26.407957,0.228,6.32,,,0.0,0.858,83.0,15.089565,
BHR,2014,5.96,88.915,49.0,,0.825235,0.192,,79.3278,26.282455,0.207,6.37,,,0.0,0.83,83.0,15.052187,
BHR,2011,5.567952,88.695,,,1.1141405,0.155,,78.8902,25.68741,0.188,6.88,,,2.1450622,0.809,83.0,15.372803,
BGD,2022,4.2821,,,,7.7674227,0.382,,,25.798586,0.472,,98.58334,0.18650704051923078,0.0011683173,,,,0.3176719
BGD,2021,5.1555,38.946,,11.0,7.642659,0.36,,72.3811,25.84281,0.438,,,0.3960055326923077,0.0,0.661,,,
BGD,2020,5.0246,38.177,,10.7,7.0021176,0.327,5.989421,71.9678,25.394598,0.404,,,0.2686347173018868,0.0017918905,0.655,,,
BGD,2019,4.8328,37.405,,10.5,7.498063,0.333,,72.8057,25.76548,0.401,3.85,,,0.0,0.644,2666.0,20.328232,
BGD,2018,4.4558,36.632,26.0,10.6,7.9265003,0.373,5.9978147,72.5675,25.340103,0.428,3.75,,,0.0,0.635,2666.0,20.456732,
BGD,2017,4.5004,35.858,28.0,11.6,7.649592,0.394,6.5,71.7879,25.570925,0.449,3.68,,,0.02966736,0.622,2666.0,20.562298,
BGD,2016,4.608,35.083,26.0,12.4,7.316912,0.41,,71.09,25.91387,0.465,3.6,,,0.045686513,0.612,2666.0,20.712677,0.32385272
BGD,2015,4.643,34.308,25.0,13.3,7.094294,0.413,,70.4913,25.454306,0.471,3.64,,,0.0031679654,0.602,2666.0,20.97101,
BGD,2014,4.694,33.535,25.0,,7.2086844,0.387,,69.9856,25.452011,0.475,3.73,,,0.0,0.583,2666.0,21.133997,
BGD,2011,4.807098,31.225,,,7.2508764,0.434,,68.8094,25.244028,0.518,4.34,,,0.0,0.561,2666.0,21.527962,
BLR,2021,5.8215,79.91,,,,0.164,,72.438,7.30788,0.211,,,1.1604558682692308,0.0,0.808,,,
BLR,2020,5.5335,79.483,,,32.618946,0.196,10.784273,72.5132,9.106788,0.241,,,0.7213926186792452,0.0,0.807,,,0.24383356
BLR,2019,5.5399,79.044,,,34.61063,0.692,,74.216,8.870981,0.656,16.4924,,,0.0,0.817,618.0,6.77795,0.25277847
BLR,2018,5.3225,78.595,44.0,,35.620087,0.691,,74.5676,7.92857,0.653,17.9443,,,0.0,0.818,618.0,6.7878304,0.25240526
BLR,2017,5.4833,78.134,44.0,,34.572056,0.687,,74.4519,7.668058,0.644,18.4619,,,0.0,0.817,618.0,6.8187437,0.2544457
