code,year,happiness,gdppc,urbanization,corruption,food_insec,tax,indiv_libs,school,life_expect,yearly temp,hri,suicides,family,covid,war,hdi,rain,air_pollution,gini,region,sub-region
AGO,2011,4.17838,7663.28605266516,60.528,,,43.97701,0.454,,57.5961,21.864286,0.515,13.4898,,,0.0,0.526,1010.0,11.522309,,Africa,Sub-Saharan Africa
ARG,2022,6.0237,22461.44094262,,,,,0.836,,,14.760651,0.878,,91.68552,0.3418394508269231,0.0,,,,,Americas,Latin America and the Caribbean
ARG,2021,5.967,21599.7967368023,92.229,,13.1,29.081787,0.853,,75.3899,15.234323,0.897,,,0.5806852351153846,0.0,0.842,,,,Americas,Latin America and the Caribbean
ARG,2020,5.9293,19694.5605233461,92.111,,13.0,29.451418,0.868,8.41131,75.8921,15.251473,0.914,,,0.2100676682264151,0.0,0.84,,,,Americas,Latin America and the Caribbean
ARG,2019,5.9747,22071.7480998394,91.991,,12.6,28.184532,0.833,,77.2845,15.001023,0.879,8.14,,,0.0,0.852,591.0,3.9129262,,Americas,Latin America and the Caribbean
ARG,2018,6.0863,22747.2416575831,91.87,40.0,12.9,28.5132,0.857,8.739134,76.9994,14.943943,0.896,8.99,,,0.0,0.85,591.0,3.9297204,,Americas,Latin America and the Caribbean
ARG,2017,6.388,23597.117752839,91.749,39.0,11.2,30.04403,0.85,8.87,76.833,15.12979,0.88,8.69,,,0.0,0.851,591.0,3.9514005,,Americas,Latin America and the Caribbean
ARG,2016,6.599,23189.5274451329,91.627,36.0,8.6,30.661215,0.861,,76.3077,14.622041,0.899,8.06,,,0.0,0.847,591.0,4.1434073,,Americas,Latin America and the Caribbean
ARG,2015,6.65,23933.8866120953,91.503,32.0,5.8,31.453716,0.869,,76.7602,15.122681,0.894,8.1,,,0.0,0.848,591.0,4.2455792,,Americas,Latin America and the Caribbean
ARG,2014,6.574,23550.0990599374,91.377,34.0,,31.12297,0.883,,76.7549,14.981751,0.915,9.16,88.90441,,0.0,0.846,591.0,4.2407727,,Americas,Latin America and the Caribbean
ARG,2011,6.242357,24647.6292739541,90.99,,,29.298832,0.879,,76.124,14.761867,0.914,8.42,,,0.0,0.841,591.0,4.178858,,Americas,Latin America and the Caribbean
ARM,2022,5.3417,16057.0064572714,,,,,0.882,,,7.408729,0.885,,91.74661,0.2024213530561538,5.5026627,,,,,Asia,Western Asia
